frame,label,confidence,x,y,time
27,moc3,0.7881,127,666,2025-10-31T15:34:57.951008+00:00
27,songoku,0.7871,450,395,2025-10-31T15:34:57.951008+00:00
27,moc2,0.7285,693,402,2025-10-31T15:34:57.951008+00:00
27,dog,0.5234,362,541,2025-10-31T15:34:57.951008+00:00
27,moc4,0.3486,345,418,2025-10-31T15:34:57.951008+00:00
28,moc1,0.856,817,663,2025-10-31T15:34:57.998287+00:00
28,songoku,0.8203,449,395,2025-10-31T15:34:57.998287+00:00
28,moc3,0.814,127,667,2025-10-31T15:34:57.998287+00:00
28,moc2,0.7363,693,401,2025-10-31T15:34:57.998287+00:00
28,dog,0.5,363,540,2025-10-31T15:34:57.998287+00:00
29,moc1,0.853,817,662,2025-10-31T15:34:58.040101+00:00
29,songoku,0.7886,449,394,2025-10-31T15:34:58.040101+00:00
29,moc3,0.7788,126,667,2025-10-31T15:34:58.040101+00:00
29,moc2,0.7559,692,400,2025-10-31T15:34:58.040101+00:00
29,dog,0.604,363,539,2025-10-31T15:34:58.040101+00:00
29,moc4,0.3557,346,418,2025-10-31T15:34:58.040101+00:00
30,moc1,0.8364,817,662,2025-10-31T15:34:58.079838+00:00
30,moc3,0.8032,127,666,2025-10-31T15:34:58.079838+00:00
30,moc2,0.7544,693,400,2025-10-31T15:34:58.079838+00:00
30,songoku,0.7515,449,394,2025-10-31T15:34:58.081843+00:00
30,dog,0.4922,362,540,2025-10-31T15:34:58.081843+00:00
31,moc1,0.8447,817,662,2025-10-31T15:34:58.109964+00:00
31,moc3,0.793,127,666,2025-10-31T15:34:58.109964+00:00
31,songoku,0.79,450,394,2025-10-31T15:34:58.109964+00:00
31,moc2,0.7476,691,400,2025-10-31T15:34:58.109964+00:00
31,dog,0.4551,363,540,2025-10-31T15:34:58.109964+00:00
32,moc1,0.8335,817,663,2025-10-31T15:34:58.141350+00:00
32,songoku,0.7949,449,395,2025-10-31T15:34:58.141350+00:00
32,moc3,0.7812,127,666,2025-10-31T15:34:58.141350+00:00
32,moc2,0.7559,693,400,2025-10-31T15:34:58.141350+00:00
32,dog,0.5137,362,539,2025-10-31T15:34:58.141350+00:00
32,moc4,0.3647,344,418,2025-10-31T15:34:58.141350+00:00
33,moc1,0.8418,817,662,2025-10-31T15:34:58.181475+00:00
33,moc3,0.8115,126,667,2025-10-31T15:34:58.181475+00:00
33,songoku,0.8003,449,395,2025-10-31T15:34:58.181475+00:00
33,moc2,0.7485,691,401,2025-10-31T15:34:58.181475+00:00
33,dog,0.5234,362,539,2025-10-31T15:34:58.181475+00:00
33,moc4,0.3721,344,419,2025-10-31T15:34:58.181475+00:00
34,moc1,0.8481,817,662,2025-10-31T15:34:58.205238+00:00
34,moc3,0.7788,126,666,2025-10-31T15:34:58.216465+00:00
34,songoku,0.7754,449,395,2025-10-31T15:34:58.216465+00:00
34,moc2,0.7422,692,400,2025-10-31T15:34:58.216465+00:00
34,moc4,0.5352,345,421,2025-10-31T15:34:58.216465+00:00
34,dog,0.5352,363,540,2025-10-31T15:34:58.216465+00:00
35,moc1,0.8579,817,662,2025-10-31T15:34:58.249349+00:00
35,moc3,0.7866,126,667,2025-10-31T15:34:58.249349+00:00
35,songoku,0.7832,449,395,2025-10-31T15:34:58.249349+00:00
35,moc2,0.7334,693,400,2025-10-31T15:34:58.249349+00:00
35,dog,0.5391,362,540,2025-10-31T15:34:58.249349+00:00
35,moc4,0.3057,345,418,2025-10-31T15:34:58.251353+00:00
36,moc1,0.8511,817,662,2025-10-31T15:34:58.279604+00:00
36,songoku,0.8013,448,394,2025-10-31T15:34:58.279604+00:00
36,moc3,0.7852,126,667,2025-10-31T15:34:58.279604+00:00
36,moc2,0.7544,692,398,2025-10-31T15:34:58.279604+00:00
36,dog,0.5679,362,540,2025-10-31T15:34:58.284947+00:00
37,moc1,0.8389,817,662,2025-10-31T15:34:58.316550+00:00
37,songoku,0.7861,449,395,2025-10-31T15:34:58.316550+00:00
37,moc3,0.7788,127,667,2025-10-31T15:34:58.316550+00:00
37,moc2,0.7529,692,401,2025-10-31T15:34:58.316550+00:00
37,dog,0.5601,363,539,2025-10-31T15:34:58.316550+00:00
37,moc4,0.3794,346,418,2025-10-31T15:34:58.316550+00:00
38,moc1,0.8198,816,663,2025-10-31T15:34:58.348087+00:00
38,songoku,0.7925,450,394,2025-10-31T15:34:58.348087+00:00
38,moc3,0.7881,126,667,2025-10-31T15:34:58.348087+00:00
38,moc2,0.7471,692,401,2025-10-31T15:34:58.348087+00:00
